State: [[-10 -10 -10]], Action: 3, Reward: -82.45599999999999, Score: 3058.488000000002, Episode: 1, Step: 147
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 3157.408000000002, Episode: 1, Step: 148
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 3256.3280000000022, Episode: 1, Step: 149
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 3355.2480000000023, Episode: 1, Step: 150
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 3454.1680000000024, Episode: 1, Step: 151
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 3553.0880000000025, Episode: 1, Step: 152
State: [[ 253.          123.         6939.77817178]], Action: 0, Reward: -59.0, Score: 3494.0880000000025, Episode: 1, Step: 153
State: [[ 253.5         121.5        7088.21842466]], Action: 3, Reward: -82.45599999999999, Score: 3411.6320000000023, Episode: 1, Step: 154
State: [[ 135.          121.         6939.77817178]], Action: 3, Reward: -82.45599999999999, Score: 3329.176000000002, Episode: 1, Step: 155
State: [[  66.5         121.5        8011.84666482]], Action: 3, Reward: -82.45599999999999, Score: 3246.720000000002, Episode: 1, Step: 156
State: [[  55.          120.         9503.31777711]], Action: 3, Reward: -82.45599999999999, Score: 3164.264000000002, Episode: 1, Step: 157
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 3263.184000000002, Episode: 1, Step: 158
State: [[-10 -10 -10]], Action: 6, Reward: -65.0, Score: 3198.184000000002, Episode: 1, Step: 159
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 3297.104000000002, Episode: 1, Step: 160
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 3396.024000000002, Episode: 1, Step: 161
State: [[  46.5         121.5        6792.90871522]], Action: 3, Reward: -82.45599999999999, Score: 3313.568000000002, Episode: 1, Step: 162
State: [[ 166.5         121.5        6792.90871522]], Action: 3, Reward: -82.45599999999999, Score: 3231.112000000002, Episode: 1, Step: 163
State: [[ 216.          121.         7238.22947387]], Action: 3, Reward: -82.45599999999999, Score: 3148.6560000000018, Episode: 1, Step: 164
State: [[ 258.          121.         7542.96396127]], Action: 3, Reward: -82.45599999999999, Score: 3066.2000000000016, Episode: 1, Step: 165
State: [[ 276.          121.         3631.68110755]], Action: 4, Reward: 98.92, Score: 3165.1200000000017, Episode: 1, Step: 166
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 3264.040000000002, Episode: 1, Step: 167
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 3362.960000000002, Episode: 1, Step: 168
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 3461.880000000002, Episode: 1, Step: 169
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 3560.800000000002, Episode: 1, Step: 170
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 3659.720000000002, Episode: 1, Step: 171
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 3758.640000000002, Episode: 1, Step: 172
